rank#bib#name#country#distance_(m)#points#time_difference
1.0#46#Jarl Magnus Riiber#Norway#103.5#150.8#0:00
2.0#32#Ryota Yamamoto#Japan#99.5#143.9#+0:06
3.0#44#Julian Schmid#Germany#102.0#141.8#+0:12
4.0#43#Johannes Lamparter#Austria#103.0#141.5#+0:17
5.0#38#Martin Fritz#Austria#100.5#141.2#+0:22
6.0#45#Vinzenz Geiger#Germany#101.5#140.0#+0:26
7.0#31#Laurent Muhlethaler#France#99.5#139.0#+0:30
8.0#34#Jørgen Gråbak#Norway#98.5#138.2#+0:33
9.0#25#Akito Watabe#Japan#100.5#137.3#+0:36
10.0#36#Franz-Josef Rehrl#Austria#101.5#136.5#+0:38
11.0#39#Johannes Rydzek#Germany#97.5#135.3#+0:40
12.0#26#Sora Yachi#Japan#97.0#135.2#+0:42
13.0#28#Ben Loomis#United States#99.5#134.4#+0:44
14.0#40#Stefan Rettenegger#Austria#98.5#133.0#+0:46
15.0#41#Ilkka Herola#Finland#97.0#132.4#+0:48
16.0#42#Jens Lurås Oftebro#Norway#99.5#132.3#+0:50
17.0#12#Pascal Müller#Switzerland#98.5#129.7#+0:52
18.0#14#Jiří Konvalinka#Czech Republic#96.0#129.0#+0:54
19.0#10#Zhao Jiawen#China#98.5#126.8#+0:56
20.0#37#Kristjan Ilves#Estonia#95.0#126.0#+0:58
21.0#19#Wille Karhumaa#Finland#97.0#124.8#+1:00
22.0#35#Manuel Faißt#Germany#93.0#124.7#+1:05
23.0#7#Shogo Azegami#Japan#92.0#121.8#+1:05
24.0#18#Raffaele Buzzi#Italy#93.5#121.5#+1:05
25.0#27#Aaron Kostner#Italy#90.5#120.5#+1:10
26.0#24#Eero Hirvonen#Finland#92.5#119.7#+1:10
27.0#30#Niklas Malacinski#United States#92.5#119.5#+1:10
28.0#20#Jan Vytrval#Czech Republic#94.0#119.3#+1:15
29.0#9#Oleksandr Shumbarets#Ukraine#90.5#115.9#+1:15
30.0#8#Herman Happonen#Finland#95.0#115.0#+1:15
31.0#23#Gaël Blondeau#France#91.0#114.7#+1:20
32.0#16#Alessandro Pittin#Italy#90.5#113.2#+1:20
33.0#13#Gašper Brecl#Slovenia#87.5#112.8#+1:20
34.0#29#Einar Lurås Oftebro#Norway#90.0#112.5#+1:25
35.0#22#Vid Vrhovnik#Slovenia#89.5#109.8#+1:25
36.0#2#Paweŀ Szyndlar#Poland#87.5#109.6#+1:25
37.0#17#Edgar Vallet#France#91.5#108.8#+1:30
38.0#33#Andreas Skoglund#Norway#89.0#108.5#+1:30
39.0#15#Dmytro Mazurchuk#Ukraine#88.5#105.7#+1:30
40.0#6#Andrzej Waliczek#Poland#85.0#101.9#+1:30
41.0#21#Stephen Schumann#United States#85.0#100.7#+1:30
42.0#11#Carter Brubaker#United States#76.5#86.9#+1:30
43.0#4#Chingiz Rakparov#Kazakhstan#78.5#83.8#+1:30
44.0#1#Kārlis Švēde#Latvia#69.5#62.8#+1:30
45.0#5#Ali Askar#Kazakhstan#65.5#51.2#+1:30
<NA>#3#Manuel Senoner#Italy#NPS#NPS#NPS
