seat[219]_seat#2022_party.1#2022_member#2022_margin#notional_margin [o]_notional_margin [o]#swing_swing#2025_margin#2025_member#2025_party
Banks, NSW#Liberal#David Coleman#3.20#2.64#4.6#1.9#Zhi Soon#Labor
Bass, TAS#Liberal#Bridget Archer#1.43#1.43#9.4#8.0#Jess Teesdale#Labor
Bonner, QLD#Liberal National#Ross Vasta#3.41#3.41#8.3#4.9#Kara Cook#Labor
Braddon, TAS#Liberal#Gavin Pearce#8.03#8.03#15.3#7.2#Anne Urquhart#Labor
Brisbane, QLD#Greens#Stephen Bates#3.7 v LNP#3.6 v LNP#58.52[p]#8.52#Madonna Jarrett#Labor
Deakin, VIC#Liberal#Michael Sukkar#0.19#0.02#3.0#2.9#Matt Gregg#Labor
Dickson, QLD#Liberal National#Peter Dutton#1.70#1.70#7.2#5.5#Ali France#Labor
Forde, QLD#Liberal National#Bert van Manen#4.23#4.23#5.7#1.5#Rowan Holzberger#Labor
Goldstein, VIC#Independent#Zoe Daniel#3.04#3.1#3.9#0.7#Tim Wilson#Liberal
Griffith, QLD#Greens#Max Chandler-Mather#10.5 v LNP#10.5 v LNP#61.63[q]#11.63 v GRN#Renee Coffey#Labor
Hughes, NSW#Liberal#Jenny Ware#7.01#3.5#5.8#2.3#David Moncrieff#Labor
Leichhardt, QLD#Liberal National#Warren Entsch#3.44#3.44#10.0#6.6#Matt Smith#Labor
Melbourne, VIC#Greens#Adam Bandt#10.15#6.5#9.3#2.8#Sarah Witty#Labor
Menzies, VIC#Liberal#Keith Wolahan#0.7#–0.4 [r]#0.2#0.6#Gabriel Ng#Labor
Moore, WA#Independent#Ian Goodenough[s]#0.66#0.91#3.7#2.8#Tom French#Labor
Petrie, QLD#Liberal National#Luke Howarth#4.44#4.44#5.3#0.9#Emma Comer#Labor
Sturt, SA#Liberal#James Stevens#0.45#0.45#6.7#6.3#Claire Clutterham#Labor
