event#gold#silver#bronze
Extra-lightweight (−60 kg)#Michel Augusto  Brazil#Jonathan Charon [es]  Cuba#Jhonathan Benavides [es]  Ecuador
Extra-lightweight (−60 kg)#Michel Augusto  Brazil#Jonathan Charon [es]  Cuba#Jonathan Yang [es]  United States
Half-lightweight (−66 kg)#Ronald Lima [pl]  Brazil#Diego Calix [es]  El Salvador#Julien Frascadore [es]  Canada
Half-lightweight (−66 kg)#Ronald Lima [pl]  Brazil#Diego Calix [es]  El Salvador#Lenin Preciado  Ecuador
Lightweight (−73 kg)#Jack Yonezuka  United States#Daniel Cargnin  Brazil#Antonio Tornal [es]  Dominican Republic
Lightweight (−73 kg)#Jack Yonezuka  United States#Daniel Cargnin  Brazil#Yanis Hachemi [es]  Canada
Half-middleweight (−81 kg)#Gabriel Falcão  Brazil#Keagan Young  Canada#Agustín Gil [es]  Argentina
Half-middleweight (−81 kg)#Gabriel Falcão  Brazil#Keagan Young  Canada#Luan Almeida [es]  Brazil
Middleweight (−90 kg)#Rafael Macedo  Brazil#Mariano Coto [es]  Argentina#Medickson del Orbe [es]  Dominican Republic
Middleweight (−90 kg)#Rafael Macedo  Brazil#Mariano Coto [es]  Argentina#John Jayne  United States
Half-heavyweight (−100 kg)#Leonardo Gonçalves  Brazil#Robert Florentino  Dominican Republic#Francisco Balanta  Colombia
Half-heavyweight (−100 kg)#Leonardo Gonçalves  Brazil#Robert Florentino  Dominican Republic#Ivo Dargoltz [es]  Argentina
Heavyweight (+100 kg)#Andy Granda  Cuba#Rafael Buzacarini  Brazil#Jonathan Loynaz [es]  Cuba
Heavyweight (+100 kg)#Andy Granda  Cuba#Rafael Buzacarini  Brazil#Francisco Solis  Chile
