event#gold#silver#bronze
57 kg details#Nachyn Mongush  United World Wrestling#Azamat Tuskaev  Serbia#Aryan Tsiutryn  United World Wrestling
57 kg details#Nachyn Mongush  United World Wrestling#Azamat Tuskaev  Serbia#Islam Bazarganov  Azerbaijan
61 kg details#Zaur Uguev  United World Wrestling#Arsen Harutyunyan  Armenia#Zelimkhan Abakarov  Albania
61 kg details#Zaur Uguev  United World Wrestling#Arsen Harutyunyan  Armenia#Andrii Dzhelep  Ukraine
65 kg details#Ibragim Ibragimov  United World Wrestling#Khamzat Arsamerzouev  France#Vazgen Tevanyan  Armenia
65 kg details#Ibragim Ibragimov  United World Wrestling#Khamzat Arsamerzouev  France#Ali Rahimzade  Azerbaijan
70 kg details#David Baev  United World Wrestling#Arman Andreasyan  Armenia#Akaki Kemertelidze  Georgia
70 kg details#David Baev  United World Wrestling#Arman Andreasyan  Armenia#Kanan Heybatov  Azerbaijan
74 kg details#Chermen Valiev  Albania#Zaurbek Sidakov  United World Wrestling#Aghanazar Novruzov  Azerbaijan
74 kg details#Chermen Valiev  Albania#Zaurbek Sidakov  United World Wrestling#Tajmuraz Salkazanov  Slovakia
79 kg details#Akhmed Usmanov  United World Wrestling#Zelimkhan Khadjiev  France#Achsarbek Gulajev  Slovakia
79 kg details#Akhmed Usmanov  United World Wrestling#Zelimkhan Khadjiev  France#Vladimeri Gamkrelidze  Georgia
86 kg details#Magomed Ramazanov  Bulgaria#Mahamedkhabib Kadzimahamedau  United World Wrestling#Osman Göçen  Turkey
86 kg details#Magomed Ramazanov  Bulgaria#Mahamedkhabib Kadzimahamedau  United World Wrestling#Artur Naifonov  United World Wrestling
92 kg details#Dauren Kurugliev  Greece#Osman Nurmagomedov  Azerbaijan#Miriani Maisuradze  Georgia
92 kg details#Dauren Kurugliev  Greece#Osman Nurmagomedov  Azerbaijan#Feyzullah Aktürk  Turkey
97 kg details#Givi Matcharashvili  Georgia#Magomed Kurbanov  United World Wrestling#Richárd Végh  Hungary
97 kg details#Givi Matcharashvili  Georgia#Magomed Kurbanov  United World Wrestling#Batyrbek Tsakulov  Slovakia
125 kg details#Giorgi Meshvildishvili  Azerbaijan#Solomon Manashvili  Georgia#Dzianis Khramiankou  United World Wrestling
125 kg details#Giorgi Meshvildishvili  Azerbaijan#Solomon Manashvili  Georgia#Kamil Kościółek  Poland
