rank#nation#gold#silver#bronze#total
<NA>#International Judo Federation (IJF)#3#3#2#8
1#France (FRA)#3#2#5#10
2#Georgia (GEO)#3#2#0#5
3#Italy (ITA)#1#3#5#9
4#Germany (GER)#1#1#2#4
5#Portugal (POR)#1#1#0#2
6#Czech Republic (CZE)#1#0#1#2
7#Hungary (HUN)#1#0#0#1
7#Kosovo (KOS)#1#0#0#1
9#Azerbaijan (AZE)#0#1#4#5
10#Greece (GRE)#0#1#0#1
10#Israel (ISR)#0#1#0#1
12#Netherlands (NED)#0#0#3#3
13#Serbia (SRB)#0#0#2#2
14#Belgium (BEL)#0#0#1#1
14#Bulgaria (BUL)#0#0#1#1
14#Croatia (CRO)#0#0#1#1
14#Finland (FIN)#0#0#1#1
14#Spain (ESP)#0#0#1#1
14#Ukraine (UKR)#0#0#1#1
Totals (19 entries)#Totals (19 entries)#15#15#30#60
