title#director#cast#country#genre
1970#1970#1970#1970#1970
Mujo#Akio Jissoji#Ryō Tamura, Michiko Tsukasa#Japan#Drama
Beyond the Valley of the Dolls#Russ Meyer#Dolly Reed, Cynthia Meyers, Marcia McBroom#USA#Satire, Musical, Melodrama
Portraits of Women#Jörn Donner#Jörn Donner, Ritva Vepsä#Finland#Comedy
1971#1971#1971#1971#1971
Vampyros Lesbos#Jesús Franco#Ewa Strömberg, Soledad Miranda, Andrea Montchal#Germany, Spain#Horror
Il Decameron#Pier Paolo Pasolini#Franco Citti, Ninetto Davoli#Italy France West Germany#Anthology film
Pretty Maids All in a Row#Roger Vadim#Rock Hudson, Angie Dickinson, Telly Savalas#USA#Comedy
The Devils#Ken Russell#Oliver Reed, Vanessa Redgrave#United Kingdom#Historical drama
1972#1972#1972#1972#1972
Ecstasy of the Angels#Kōji Wakamatsu#Ken Yoshizawa, Rie Yokoyama#Japan#Drama
Female Convict Scorpion: Beast Stable#Shunya Itō#Meiko Kaji, Mikio Narita#Japan#Women in prison film
Female Convict Scorpion: Jailhouse 41#Shunya Itō#Meiko Kaji, Fumio Watanabe#Japan#Women in prison film
Female Prisoner 701: Scorpion#Shunya Itō#Meiko Kaji, Rie Yokoyama#Japan#Women in prison film
Ichijo's Wet Lust#Tatsumi Kumashiro#Sayuri Ichijō, Hiroko Isayama#Japan#Sexploitation film
Last Tango in Paris#Bernardo Bertolucci#Marlon Brando, Maria Schneider#Italy France#Drama
1973#1973#1973#1973#1973
Les Démons#Jesús Franco#Anne Libert, Britt Nichols#France Portugal#Nunsploitation
Malicious#Salvatore Samperi#Laura Antonelli, Turi Ferro#Italy#Comedy drama
Sensuela#Teuvo Tulio#Marianne Mardi, Mauritz Åkerman#Finland#Drama
Story of a Cloistered Nun#Domenico Paolella#Catherine Spaak, Eleonora Giorgi#Italy France West Germany#Nunsploitation
The Cheerleaders#Paul Glickler#Enid Finnbogason, Denise Dillaway#USA#Comedy
1974#1974#1974#1974#1974
Emmanuelle#Just Jaeckin#Sylvia Kristel, Alain Cuny#France#Drama
Flavia the Heretic#Gianfranco Mingozzi#Florinda Bolkan, María Casares#Italy France#Nunsploitation
School of the Holy Beast#Norifumi Suzuki#Yumi Takigawa, Emiko Yamauchi#Japan#Nunsploitation
The Sinful Nuns of Saint Valentine#Sergio Grieco#Françoise Prévost, Jenny Tamburi#Italy#Nunsploitation
The Swinging Cheerleaders#Jack Hill#Rainbeaux Smith, Jo Johnston#USA#Comedy
1975#1975#1975#1975#1975
Black Emanuelle#Bitto Albertini#Laura Gemser, Karin Schubert#Italy Spain#Sexploitation film
Cooley High#Michael Schultz#Glynn Turman, Lawrence Hilton-Jacobs#USA#Teen film Comedy drama
Emmanuelle 2#Francis Giacobetti#Sylvia Kristel, Umberto Orsini#France#Drama
Frauengefängnis#Jesús Franco#Lina Romay, Monica Swinn#Switzerland West Germany#Women in prison film
