rank#bib#name#country#distance_(m)#points
1#50#Marius Lindvik#Norway#143.0#154.4
2#51#Ryoyu Kobayashi#Japan#140.0#154.0
3#46#Domen Prevc#Slovenia#140.5#151.9
4#58#Johann André Forfang#Norway#138.5#151.0
5#60#Jan Hörl#Austria#133.0#140.3
6#38#Philipp Raimund#Germany#139.5#138.8
7#53#Andreas Wellinger#Germany#130.5#135.8
8#56#Gregor Deschwanden#Switzerland#129.0#134.7
9#59#Stefan Kraft#Austria#129.0#133.6
9#52#Anže Lanišek#Slovenia#129.0#133.6
11#29#Robert Johansson#Norway#135.0#131.4
12#54#Maximilian Ortner#Austria#128.0#130.2
13#31#Antti Aalto#Finland#131.5#127.9
14#36#Killian Peier#Switzerland#131.0#126.9
15#55#Kristoffer Eriksen Sundal#Norway#127.5#126.6
16#49#Paweł Wąsek#Poland#128.0#126.1
17#30#Alex Insam#Italy#131.5#125.9
18#18#Kasperi Valto#Finland#133.0#125.7
19#43#Artti Aigro#Estonia#126.5#122.4
20#42#Aleksander Zniszczoł#Poland#125.0#121.3
21#57#Pius Paschke#Germany#124.0#119.9
22#37#Vladimir Zografski#Bulgaria#125.5#119.3
23#33#Lovro Kos#Slovenia#128.0#118.8
24#19#Yanick Wasser#Switzerland#133.0#118.6
25#61#Daniel Tschofenig#Austria#122.5#117.5
26#41#Kevin Bickner#United States#122.5#115.6
27#35#Jakub Wolny#Poland#126.0#115.1
28#27#Yukiya Sato#Japan#127.0#114.1
29#1#Vitaliy Kalinichenko#Ukraine#123.5#113.0
30#32#Yevhen Marusiak#Ukraine#125.5#112.1
31#45#Ren Nikaido#Japan#120.0#112.0
32#47#Timi Zajc#Slovenia#120.0#111.5
33#48#Karl Geiger#Germany#117.5#110.5
34#39#Valentin Foubert#France#119.5#108.9
35#28#Erik Belshaw#United States#125.0#108.1
36#17#Simon Ammann#Switzerland#126.5#107.5
37#40#Naoki Nakamura#Japan#119.0#107.2
38#44#Tate Frantz#United States#119.0#106.4
39#24#Žak Mogel#Slovenia#124.5#106.3
40#23#Eetu Nousiainen#Finland#122.0#105.7
41#34#Dawid Kubacki#Poland#119.5#102.4
42#9#Song Qiwu#China#120.5#98.4
43#7#Francesco Cecon#Italy#118.5#98.0
44#16#Vilho Palosaari#Finland#116.5#95.4
45#25#Fatih Arda İpcioğlu#Turkey#117.5#93.8
46#21#Roman Koudelka#Czech Republic#115.5#91.4
47#20#Jason Colby#United States#116.0#87.9
48#8#Kaimar Vagul#Estonia#111.0#82.0
49#11#Hektor Kapustík#Slovakia#111.0#80.8
50#14#Enzo Milesi#France#105.5#79.7
