team_╲_round_team_╲_round#1_unnamed:_1_level_1#2_unnamed:_2_level_1#3_unnamed:_3_level_1#4_unnamed:_4_level_1#5_unnamed:_5_level_1#6_unnamed:_6_level_1#7_unnamed:_7_level_1#8_unnamed:_8_level_1#9_unnamed:_9_level_1
AIK#6#3#2#1#1#1#2#1#1.0
Mjällby AIF#8#11#6#3#3#2#1#3#2.0
Hammarby IF#2#2#1#2#2#3#3#2#3.0
IF Elfsborg#9#12#7#5#4#5#4#4#4.0
Malmö FF#7#4#3#4#7#4#5#5#5.0
Djurgårdens IF#13#9#12#12#9#12#12#6#<NA>
IFK Norrköping#4#6#11#7#11#7#6#7#<NA>
IF Brommapojkarna#14#15#10#8#8#9#7#8#<NA>
Degerfors IF#1#1#4#6#5#8#8#9#<NA>
BK Häcken#3#7#13#9#12#10#9#10#<NA>
IFK Göteborg#15#10#5#10#6#6#10#11#<NA>
Halmstads BK#16#16#15#15#15#14#13#12#<NA>
IK Sirius#5#8#14#13#13#13#14#13#<NA>
GAIS#12#13#8#11#10#11#11#14#<NA>
Östers IF#10#5#9#14#14#15#15#15#<NA>
IFK Värnamo#11#14#16#16#16#16#16#16#<NA>
