rank#bib#name#country#distance_(m)#points
1#58#Johann André Forfang#Norway#106.5#140.8
2#53#Andreas Wellinger#Germany#105.5#138.2
3#61#Daniel Tschofenig#Austria#102.5#134.2
4#36#Killian Peier#Switzerland#104.0#131.9
5#48#Karl Geiger#Germany#101.5#129.1
6#39#Valentin Foubert#France#100.0#128.7
7#59#Stefan Kraft#Austria#101.0#128.4
8#60#Jan Hörl#Austria#100.0#127.3
9#56#Gregor Deschwanden#Switzerland#99.5#125.8
10#38#Philipp Raimund#Germany#100.0#124.9
11#46#Domen Prevc#Slovenia#99.5#124.7
12#20#Yanick Wasser#Switzerland#105.0#124.4
12#52#Anže Lanišek#Slovenia#96.0#124.4
14#50#Marius Lindvik#Norway#98.0#124.3
15#47#Timi Zajc#Slovenia#100.5#124.1
16#54#Maximilian Ortner#Austria#98.0#123.9
17#49#Paweł Wąsek#Poland#98.5#123.2
18#51#Ryōyū Kobayashi#Japan#95.5#123.1
19#37#Vladimir Zografski#Bulgaria#97.0#122.4
20#55#Kristoffer Eriksen Sundal#Norway#97.0#122.2
21#42#Aleksander Zniszczoł#Poland#97.0#121.1
22#34#Dawid Kubacki#Poland#98.5#120.5
23#33#Lovro Kos#Slovenia#98.5#118.7
24#32#Yevhen Marusiak#Ukraine#98.0#118.0
25#28#Alex Insam#Italy#98.5#117.6
26#14#Casey Larson#United States#99.0#116.3
27#44#Tate Frantz#United States#95.5#114.7
28#45#Ren Nikaido#Japan#94.5#114.6
29#40#Naoki Nakamura#Japan#93.0#113.8
30#57#Pius Paschke#Germany#92.0#113.6
31#30#Robin Pedersen#Norway#94.5#113.4
32#29#Antti Aalto#Finland#94.0#112.9
33#23#Fatih Arda İpcioğlu#Turkey#96.5#112.5
34#35#Jakub Wolny#Poland#96.5#111.8
35#25#Erik Belshaw#United States#94.5#111.6
36#27#Sakutaro Kobayashi#Japan#93.5#110.9
37#31#Piotr Żyła#Poland#94.5#110.7
38#26#Niko Kytösaho#Finland#94.5#108.5
39#19#Kasperi Valto#Finland#99.5#107.3
40#15#Enzo Milesi#France#96.0#106.9
41#7#Francesco Cecon#Italy#96.5#106.6
41#22#Ilya Mizernykh#Kazakhstan#95.0#106.6
43#1#Vitaliy Kalinichenko#Ukraine#96.0#105.4
44#41#Kevin Bickner#United States#90.0#105.0
45#18#Simon Ammann#Switzerland#97.5#104.0
46#17#Vilho Palosaari#Finland#94.0#103.4
47#21#Roman Koudelka#Czech Republic#93.0#103.3
48#43#Artti Aigro#Estonia#88.5#103.2
49#16#Muhammed Ali Bedir#Turkey#92.5#100.9
50#8#Kaimar Vagul#Estonia#93.5#100.5
