contestant#original_tribe#post-swap_tribe#shuffled_tribe#post_shuffled_tribe#finish
Candice "Candy" Rule 26, Sydney, NSW#Brawn#<NA>#<NA>#<NA>#1st voted out Day 2
Indy Saleh 45, Townsville, QLD#Brains#<NA>#<NA>#<NA>#2nd voted out Day 5
Zen Heaton 21, Gold Coast, QLD#Brawn#<NA>#<NA>#<NA>#Medically evacuated Day 7
Kent Miller-Randle 53, Melbourne, VIC#Brains#<NA>#<NA>#<NA>#3rd voted out Day 7
Nash Gendo 36, Sydney, NSW#Brawn#<NA>#<NA>#<NA>#4th voted out Day 9
Ally Kettle 31, Goovigen, QLD#Brains#Brains#<NA>#<NA>#5th voted out Day 14
Richard "Rich" Hughes 38, Melbourne, VIC#Brains#Brawn#Brawn#<NA>#6th voted out Day 16
Ursula Rose 35, Canberra, ACT#Brawn#Brawn#Brawn#<NA>#7th voted out Day 18
Max Wills 28, Gold Coast, QLD#Brains#Brains#Brains#<NA>#8th voted out Day 19
Laura Noonan 27, Melbourne, VIC#Brawn#Brawn#Brawn#<NA>#9th voted out Day 21
Ben Bylett 45, Mount Coolum, QLD#Brawn#Brawn#Brains#Brains#Left Day 25
Jesse Noonan 33, Gold Coast, QLD#Brawn#Brawn#Brains#Brains#10th voted out Day 28
Paul "PD" Dee 49, Rockdale, NSW#Brawn#Brawn#Brains#Brains#11th voted out Day 29
Laura Darras 25, Melbourne, VIC#Brains#Brains#Brains#Brains#12th voted out 1st jury member Day 31
Paul "Paulie" Hlaihel 36, Sydney, NSW#Brawn#Brawn#Brawn#Brawn#13th voted out 2nd jury member Day 35
Karin Gunatilake 30, Melbourne, VIC#Brains#Brains#Brawn#Brawn#14th voted out 3rd jury member Day 37
Logan Johannisen 27, Melbourne, VIC#Brains#Brains#Brawn#Brawn#15th voted out 4th jury member Day 39
Kristin Alston 43, Sydney, NSW#Brawn#Brawn#Brawn#Brawn#16th voted out 5th jury member Day 41
Morgan Mitchell 29, Melbourne, VIC#Brawn#Brawn#Brains#Brains#17th voted out[a] Day 43
Kate Gloufchis 26, Melbourne, VIC#Brawn#Brawn#Brains#Brains#18th voted out 6th jury member Day 44
Zara Callianiotis 43, Brisbane, QLD#Brains#Brains#Brains#Brawn#19th voted out 7th jury member Day 45
Alexander "AJ" Antonios 35, Sydney, NSW#Brains#Brains#Brawn#Brawn#20th voted out 8th jury member Day 46
Kaelan Lockhart 27, Brisbane, QLD#Brains#Brains#Brawn#Brawn#Runner-up Day 47
Myles Kuah 23, Sydney, NSW#Brains#Brains#Brains#Brains#Sole Survivor Day 47
