rank#bib#name#country#time#difference#notes
1.0#11#Cristian Westemaier#Brazil#2:42.06#<NA>#Q
2.0#14#Yerbol Khamitov#Kazakhstan#2:42.45#+0.39#Q
3.0#13#Pavlo Bal#Ukraine#2:45.93#+3.87#Q
4.0#17#Daniel Cnossen#United States#2:48.75#+6.69#Q
5.0#15#Oleksandr Aleksyk#Ukraine#2:49.62#+7.56#Q
6.0#12#Giuseppe Romele#Italy#2:52.43#+10.37#Q
7.0#16#Vasyl Kravchuk#Ukraine#2:55.98#+13.92#Q
8.0#20#Michele Biglione#Italy#2:56.17#+14.11#Q
9.0#24#Arnt Christian Furuberg#Sweden#3:04.05#+21.99#Q
10.0#23#Jeong Jae-seok#South Korea#3:04.74#+22.68#Q
11.0#19#Volodymyr Chernysh#Ukraine#3:05.02#+22.96#Q
12.0#21#Krzysztof Plewa#Poland#3:05.53#+23.47#Q
13.0#26#Sergey Ussoltsev#Kazakhstan#3:10.05#+27.99#<NA>
14.0#25#Won Yoo-min#South Korea#3:11.91#+29.85#<NA>
15.0#22#Hryhorii Shymko#Ukraine#3:12.95#+30.89#<NA>
16.0#28#Anatolii Zhumik#Ukraine#3:19.45#+37.39#<NA>
17.0#29#Temuri Dadiani#Georgia#3:47.06#+1:05.00#<NA>
18.0#30#David Chávez#El Salvador#3:52.47#+1:10.41#<NA>
19.0#31#Jonathan Arias#El Salvador#4:15.10#+1:33.06#<NA>
20.0#18#Shin Eui-hyun#South Korea#4:17.15#+1:35.11#<NA>
<NA>#27#Yuriy Berezin#Kazakhstan#Did not finish#Did not finish#Did not finish
