rank#name#nation#score#10#9
1#Chiara Rebagliati#Italy#587#47#13
2#Victoria Sebastian#France#586#46#14
3#Roberta Di Francesco#Italy#583#44#15
4#Lucilla Boari#Italy#582#42#18
5#Nurinisso Makhmudova#Authorised Neutral Athletes#580#43#14
6#Denisa Baránková#Slovakia#579#40#19
7#Tsiko Putkaradze#Georgia#578#39#20
8#Balzhin Damdinova#Authorised Neutral Athletes#578#38#22
9#Lisa Barbelin#France#577#42#13
10#Elisabeth Straka#Austria#577#39#19
11#Fatma Maraşlı#Turkey#576#37#22
12#Elena Bendíkova#Slovakia#576#36#24
13#Gizem Özkan#Turkey#571#32#27
14#Ilona Hollander#Netherlands#569#34#21
15#Mădălina Amăistroaie#Romania#568#31#26
16#Zeynep Köse#Turkey#565#32#23
17#Mariia Taraiarova#Authorised Neutral Athletes#565#28#30
18#Alexandra Mîrca#Moldova#562#33#24
19#Kristína Drusková#Slovakia#557#35#17
20#Sarah Russell#Ireland#557#29#21
21#Dobromira Danailova#Bulgaria#553#30#19
22#Nikoli Streapunina#Moldova#548#21#27
23#Valgerdur Hjaltested#Iceland#548#18#34
24#Marin Anita Hilmarsdottir#Iceland#547#22#28
25#Nadejda Celan#Moldova#526#21#16
26#Astrid Daxbock#Iceland#454#10#18
