team_team#head_coach_head_coach#captain_captain#kit_manufacturer_kit_manufacturer#sponsors_main#sponsors_other(s)0
Falkenbergs FF#Christoffer Andersson#Tim Stålheden#Adidas#<NA>#List Front: Back: Sleeves: Shorts: Socks:
GIF Sundsvall#Erol Ates#Pontus Engblom#Puma#<NA>#List Front: Back: Sleeves: Shorts: Socks:
Helsingborgs IF#Klebér Saarenpää#<NA>#Puma#Vobbiz#List Front: Back: Sleeves:XXL Shorts: Socks:
IK Brage#Janne Mian  William Bergendahl#Alexander Zetterström#Select#<NA>#List Front: Back: Sleeves: Shorts: Socks:
IK Oddevold#Rikard Nilsson#<NA>#Puma#<NA>#List Front: Back: Sleeves: Shorts: Socks:
Kalmar FF#Toni Koskela#Melker Hallberg#Select#Mjlti Bygg#List Front: Mjlti Bygg Back: Redeye Sleeves: Unibet Shorts: Cupra Socks:
Landskrona BoIS#Max Mölder#<NA>#Nike#Ohlssons#List Front: Ohlssons Back: Puls Sleeves: Shorts: Socks:
Sandvikens IF#Eldar Abdulic#Gustav Thörn#Adidas#<NA>#List Front: Back: Sleeves: Shorts: Socks:
Trelleborgs FF#Stefan Jacobsson#Charlie Weberg#Craft#<NA>#List Front: Back: Sleeves: Shorts: Socks:
Umeå FC#Anders Bååth#Stefan Lindmark#Adidas#<NA>#List Front: Back: Sleeves: Shorts: Socks:
Utsiktens BK#Bosko Orovic#Jesper Brandt#Select#<NA>#List Front: Back: Sleeves: Shorts: Socks:
Varbergs BoIS#Roar Hansen#Joakim Lindner#Craft#<NA>#List Front: Back: Sleeves: Shorts: Socks:
Västerås SK#Kalle Karlsson#Simon Johansson#Puma#<NA>#List Front: Back: Sleeves: Shorts: Socks:
Örebro SK#Christian Järdler#Kalle Holmberg#Select#<NA>#List Front: Back: Sleeves: Shorts: Socks:
Örgryte IS#Andreas Holmberg#Daniel Paulson#Umbro#<NA>#List Front: NTex Back: Sleeves: Shorts: Socks:
Östersunds FK#Kiarash Livani#Ali Suljic#Adidas#<NA>#List Front: Back: Sleeves: Shorts: Socks:
