date#format(s)#version#label
February 19, 2025#Digital downloadstreaming#Standard#EMI
February 26, 2025#CD#Standard#EMIDef Jam
February 26, 2025#CD#Deluxe#EMIDef Jam
February 26, 2025#CDDVD#Limited#EMIDef Jam
February 26, 2025#CDBlu-ray#Limited#EMIDef Jam
February 26, 2025#CD (Amazon exclusive)#Standard#EMIDef Jam
February 26, 2025#CD (Amazon exclusive)#Deluxe#EMIDef Jam
February 26, 2025#CD (Amazon exclusive)DVD (Amazon exclusive)#Limited#EMIDef Jam
February 26, 2025#CD (Amazon exclusive)Blu-ray (Amazon exclusive)#Limited#EMIDef Jam
February 26, 2025#CD (Universal Japan exclusive)#Standard#Universal Japan
February 26, 2025#CD (Universal Japan exclusive)#Deluxe#Universal Japan
February 26, 2025#CD (Universal Japan exclusive)DVD (Universal Japan exclusive)#Limited#Universal Japan
February 26, 2025#CD (Universal Japan exclusive)Blu-ray (Universal Japan exclusive)#Limited#Universal Japan
May 14, 2025#Vinyl#Standard#EMIDef Jam
