rank#bib#country#athletes#time#deficit#notes
1.0#1#Norway#Erik Valnes Johannes Høsflot Klæbo#6:19.21#<NA>#Q
2.0#7#Finland#Ristomatti Hakola Lauri Vuorinen#6:23.25#+4.04#Q
3.0#5#France#Jules Chappaz Richard Jouve#6:23.81#+4.60#Q
4.0#9#Czech Republic#Jiří Tuž Michal Novák#6:26.26#+7.05#Q
5.0#6#Switzerland#Janik Riebli Valerio Grond#6:29.77#+10.56#Q
6.0#17#Poland#Maciej Staręga Dominik Bury#6:30.27#+11.06#Q
7.0#3#Italy#Davide Graz Federico Pellegrino#6:30.95#+11.74#Q
8.0#2#United States#Gus Schumacher JC Schoonmaker#6:32.99#+13.78#Q
9.0#10#Germany#Elias Keck Jan Stölben#6:33.43#+14.22#Q
10.0#16#Spain#Bernat Sellés Jaume Pueyo#6:33.77#+14.56#Q
11.0#8#Canada#Antoine Cyr Xavier McKeever#6:34.28#+15.07#Q
12.0#4#Sweden#Oskar Svensson Edvin Anger#6:34.31#+15.10#Q
13.0#12#Slovenia#Miha Šimenc Nejc Štern#6:34.65#+15.44#Q
14.0#14#Austria#Benjamin Moser Lukas Mrkonjic#6:35.92#+16.71#Q
15.0#25#China#Kuerbanjiang Wuerkaixi Wang Qiang#6:38.17#+18.96#Q
16.0#13#Estonia#Martin Himma Christopher Kalev#6:39.01#+19.80#<NA>
17.0#15#Latvia#Raimo Vīgants Lauris Kaparkalējs#6:40.28#+21.07#<NA>
18.0#23#Kazakhstan#Konstantin Bortsov Svyatoslav Matassov#6:41.53#+22.32#<NA>
19.0#11#Great Britain#Andrew Young James Clugnet#6:50.95#+31.74#<NA>
20.0#19#Australia#Seve de Campo Lars Young Vik#6:55.10#+35.89#<NA>
21.0#18#Ukraine#Dmytro Drahun Oleksandr Lisohor#6:58.31#+39.10#<NA>
22.0#28#Iceland#Dagur Benediktsson Astmar Helgi Kristinsson#7:02.64#+43.43#<NA>
23.0#22#Romania#Florin Dolhascu Gabriel Cojocaru#7:04.22#+45.01#<NA>
24.0#31#Lithuania#Modestas Vaičiulis Tautvydas Strolia#7:04.56#+45.35#<NA>
25.0#30#Turkey#Abdullah Yılmaz Amed Oğlağo#7:05.13#+45.92#<NA>
26.0#21#South Korea#Byun Ji-yeong Lee Joon-seo#7:07.23#+48.02#<NA>
27.0#26#Argentina#Franco Dal Farra Mateo Lorenzo Sauma#7:13.48#+55.27#<NA>
28.0#39#Brazil#Manex Silva Victor Santos#7:20.52#+1:02.31#<NA>
29.0#20#Bulgaria#Mario Matikanov Daniel Peshkov#7:21.13#+1:02.92#<NA>
30.0#33#Slovakia#Jáchym Cenek Michal Adamov#7:22.55#+1:04.34#<NA>
31.0#29#Chile#Martín Flores Sebastián Endrestad#7:27.29#+1:09.08#<NA>
32.0#27#Belgium#Mathis Poutot Samuel Maes#7:29.88#+1:10.67#<NA>
33.0#24#Ireland#Thomas Maloney Westgård Dylan Longridge#7:34.30#+1:15.09#<NA>
34.0#34#Croatia#Marko Skender Matija Štimac#7:35.90#+1:16.69#<NA>
35.0#40#Haiti#Stevenson Savart Theo Mallett#7:51.85#+1:32.64#<NA>
36.0#37#Thailand#Thanakorn Ngoeichai Mark Chanloung#7:52.88#+1:33.67#<NA>
