rank#bib#athlete#country#time#deficit
<NA>#1#Johannes Høsflot Klæbo#Norway#1:57:47.1#0.00
<NA>#11#William Poromaa#Sweden#1:57:49.2#+2.1
<NA>#2#Simen Hegstad Krüger#Norway#1:57:55.6#+8.5
4.0#5#Martin Løwstrøm Nyenget#Norway#1:58:05.7#+18.6
5.0#4#Harald Østberg Amundsen#Norway#1:58:38.9#+51.8
6.0#12#Andrew Musgrave#Great Britain#1:59:48.3#+2:01.2
7.0#25#Remi Lindholm#Finland#1:59:50.8#+2:03.7
8.0#18#Gustaf Berglund#Sweden#2:01:17.1#+3:30.0
9.0#6#Mika Vermeulen#Austria#2:01:54.5#+4:07.4
10.0#22#Naoto Baba#Japan#2:02:11.3#+4:24.2
11.0#17#Michal Novák#Czech Republic#2:02:41.1#+4:54.0
12.0#14#Jens Burman#Sweden#2:03:17.7#+5:30.6
13.0#15#Thomas Maloney Westgaard#Ireland#2:04:07.0#+6:19.9
14.0#13#Arsi Ruuskanen#Finland#2:04:09.2#+6:22.1
15.0#9#Friedrich Moch#Germany#2:04:15.9#+6:28.8
16.0#3#Hugo Lapalus#France#2:04:51.8#+7:04.7
17.0#31#Markus Vuorela#Finland#2:05:13.5#+7:26.4
18.0#28#Jason Rüesch#Switzerland#2:05:25.2#+7:38.1
19.0#23#Alvar Johannes Alev#Estonia#2:05:26.3#+7:39.2
20.0#16#Jules Lapierre#France#2:05:39.1#+7:52.0
21.0#30#Victor Lovera#France#2:05:39.9#+7:52.8
22.0#44#Kevin Bolger#United States#2:06:34.4#+8:47.3
23.0#21#Truls Gisselman#Sweden#2:06:38.1#+8:51.0
24.0#32#Olivier Léveillé#Canada#2:06:41.0#+8:53.9
25.0#38#Dominik Bury#Poland#2:06:42.4#+8:55.3
26.0#10#Gus Schumacher#United States#2:06:45.1#+8:58.0
27.0#8#Pål Golberg#Norway#2:06:57.8#+9:10.7
28.0#24#Martino Carollo#Italy#2:07:42.3#+9:55.2
29.0#29#Simone Daprà#Italy#2:07:43.4#+9:56.3
30.0#52#Imanol Rojo#Spain#2:07:43.9#+9:56.8
31.0#41#Andrew Young#Great Britain#2:07:44.1#+9:57.0
32.0#20#Irineu Esteve Altimiras#Andorra#2:07:50.9#+10:03.8
33.0#57#Alexander Brandner#Austria#2:08:08.9#+10:21.8
34.0#33#Giovanni Ticco#Italy#2:08:26.5#+10:39.4
35.0#40#Adam Fellner#Czech Republic#2:08:33.8#+10:46.7
36.0#39#Haruki Yamashita#Japan#2:08:40.3#+10:53.2
37.0#27#Paolo Ventura#Italy#2:08:52.7#+11:05.6
38.0#34#Candide Pralong#Switzerland#2:09:03.5#+11:16.4
39.0#35#Ryo Hirose#Japan#2:10:00.4#+12:13.3
40.0#56#Valeriy Gontar#Slovenia#2:10:31.3#+12:44.2
41.0#48#Benjamin Moser#Austria#2:11:03.0#+13:15.9
42.0#54#James Clugnet#Great Britain#2:11:28.8#+13:41.7
43.0#26#Florian Notz#Germany#2:11:37.4#+13:50.3
44.0#46#Yuito Habuki#Japan#2:12:15.1#+14:28.0
45.0#47#Vladislav Kovalyov#Kazakhstan#2:12:15.1#+14:28.0
46.0#49#Oleksandr Lisohor#Ukraine#2:12:37.9#+14:50.8
47.0#36#Martin Himma#Estonia#2:13:02.2#+15:15.1
