event#gold#silver#bronze
Extra-lightweight (−60 kg)#Ayub Bliev [ru] (IJF)#Turan Bayramov (AZE)#Kamoliddin Bakhtiyorov (UZB)
Extra-lightweight (−60 kg)#Ayub Bliev [ru] (IJF)#Turan Bayramov (AZE)#Anvarjon Ibrohimov (UZB)
Half-lightweight (−66 kg)#Ramazan Abdulaev (IJF)#Zamohshari Bekmurodov (UZB)#Artyom Shturbabin (UZB)
Half-lightweight (−66 kg)#Ramazan Abdulaev (IJF)#Zamohshari Bekmurodov (UZB)#Mukhriddin Tilovov (UZB)
Lightweight (−73 kg)#Karen Galstian (IJF)#Danil Lavrentev (IJF)#Shakhram Ahadov (UZB)
Lightweight (−73 kg)#Karen Galstian (IJF)#Danil Lavrentev (IJF)#Maxime Gobert (FRA)
Half-middleweight (−81 kg)#Timur Arbuzov (IJF)#Arslonbek Tojiev (UZB)#Gadzhimurad Omarov (UAE)
Half-middleweight (−81 kg)#Timur Arbuzov (IJF)#Arslonbek Tojiev (UZB)#Abylaikhan Zhubanazar (KAZ)
Middleweight (−90 kg)#Shakhzodxuja Sharipov (UZB)#Komei Kawabata [ja] (JPN)#Eldar Allakhverdiev (IJF)
Middleweight (−90 kg)#Shakhzodxuja Sharipov (UZB)#Komei Kawabata [ja] (JPN)#Nurbek Murtozoev (UZB)
Half-heavyweight (−100 kg)#Matvey Kanikovskiy (IJF)#Adam Sangariev (IJF)#Ernazar Sarsenbaev (UZB)
Half-heavyweight (−100 kg)#Matvey Kanikovskiy (IJF)#Adam Sangariev (IJF)#Iván Felipe Silva Morales (CUB)
Heavyweight (+100 kg)#Denis Batchaev (IJF)#Valeriy Endovitskiy (IJF)#Alisher Yusupov (UZB)
Heavyweight (+100 kg)#Denis Batchaev (IJF)#Valeriy Endovitskiy (IJF)#Andy Granda (CUB)
