poll_poll#date_date#sample_sample#dan_ind._unnamed:_3_level_1#simion_aur_unnamed:_4_level_1#others_others
AtlasIntel#13–15 May 2025#5628#48.7%#47.8%#3.5%
IRSOP#10–13 May 2025#951#52%#48%#<NA>
Sociopol#10–12 May 2025#1024#47%#53%#<NA>
AtlasIntel#9–12 May 2025#3995#48.2%#48.2%#3.6%
MKOR#8–14 May 2025#3357#34.2%#32%#33.8%
CURS#8–11 May 2025#3042#48%#52%#<NA>
Verifield#6 May 2025#944#45.2%#54.8%#<NA>
First round on 4 May#First round on 4 May#First round on 4 May#First round on 4 May#First round on 4 May#First round on 4 May
AtlasIntel#28 Apr–1 May 2025#3247#40%#37%#23%
Noi, Cetățenii#24–30 Apr 2025#1378#55%#45%#<NA>
MKOR#24–27 Apr 2025#1750#29%#28%#43%
FlashData#24–26 Apr 2025#7500#40.0%#45.5%#14.5%
AtlasIntel#17–22 Apr 2025#3701#42%#39%#19%
AtlasIntel#10–13 Apr 2025#2994#40.7%#37.5%#21.8%
ARA#9–13 Apr 2025#1115#48%#52%#<NA>
CURS#3–10 Apr 2025#1214#46%#54%#<NA>
FlashData#3–5 Apr 2025#7500#58%#42%#<NA>
Sociopol#31 Mar–4 Apr 2025#1.007#47%#53%#<NA>
Noi, Cetățenii#28 Mar–8 Apr 2025#1488#60%#40%#<NA>
MKOR#26–28 Mar 2025#1500#35%#31%#35%
Sociopol#17–18 Mar 2025#1005#48%#52%#<NA>
AtlasIntel#13–15 Mar 2025#2381#42.1%#35.3%#22.6%
Noi, Cetățenii#23 Dec 2024–13 Jan 2025#1067#54%#46%#<NA>
