skip#third#second#lead#alternate#coach#club(s)
James Ballance#Kolby MacDonald#Michael Keenan#Oliver Burton#Christopher Pratt#Tim Krassman#Okotoks CC, Okotoks St. Albert CC, St. Albert
Zach Davies#Ronan Peterson#William Butler#Adam Naugler#<NA>#Rob Krepps#Saville Community SC, Edmonton
Peter Hlushak#Sahil Dalrymple#Varyk Doepker#Lucas Sawiak#<NA>#Byron Jagoe#Saville Community SC, Edmonton
Ryan Jacques#Cole Adams#Derek Bowyer#Tyson Toews#<NA>#Mickey Pendergast#Saville Community SC, Edmonton
Jamie King#Michael Jantzen#Sean Morris#Scott Manners#<NA>#<NA>#St. Albert CC, St. Albert
Kevin Koe#Tyler Tardi#Aaron Sluchinski#Karrick Martin#Mike Libbus#John Dunn#The Glencoe Club, Calgary
Jacob Libbus#Nathan Molberg#Zachary Pawliuk#Michael Hendricks#Brad Thiessen#<NA>#Ellerslie CC, Edmonton
Darren Moulding#Kyler Kleibrink#Andrew Nerpin#Evan Crough#<NA>#<NA>#Calgary CC, Calgary
Ryan Parent#Jared Jenkins#Ben Savage#Ethan Drysdale#<NA>#Sandra Jenkins#Calgary CC, Calgary
Johnson Tao#Kenan Wipf#Benjamin Morin#Andrew Nowell#<NA>#Doug Marks#Saville Community SC, Edmonton
Evan van Amsterdam#Jeremy Harty#Jason Ginter#Parker Konschuh#Glenn Venance#<NA>#Saville Community SC, Edmonton
Daylan Vavrek#Tristan Steinke#Carter Lautner#Evan Asmussen#<NA>#<NA>#Sexsmith CC, Sexsmith
