rank#cyclist#nation#time#diff.
<NA>#Barbora Bukovská#Czech Republic#44:55#<NA>
<NA>#Lise Revol#France#45:10#+0:15
<NA>#Lucie Grohová#Czech Republic#45:30#+0:35
4.0#Giorgia Pellizotti#Italy#45:39#+0:44
5.0#Shana Huber#Switzerland#45:43#+0:48
6.0#Nynke Jochems#Netherlands#46:04#+1:09
7.0#Zélie Lambert#France#46:38#+1:43
8.0#Zoe Roche#Great Britain#46:47#+1:52
9.0#Alexa Haviland#Canada#46:49#+1:54
10.0#Laly Pichon#France#46:55#+2:00
11.0#Rianne Nieuwenhuis#Netherlands#47:09#+2:14
12.0#Aitana Gutierrez Velarde#Spain#47:11#+2:16
13.0#Peggy Knox#Great Britain#47:19#+2:24
14.0#Nicole Azzetti#Italy#47:26#+2:31
15.0#Liese Geuens#Belgium#47:48#+2:53
16.0#Nicole Righetto#Italy#47:55#+3:00
17.0#Lujza Bartošíková#Slovakia#48:03#+3:08
18.0#Kira Mullins#United States#48:10#+3:15
19.0#Elisa Bianchi#Italy#48:21#+3:26
20.0#Barbora Šíslová#Czech Republic#48:29#+3:34
21.0#Lucie Elizalde#France#48:52#+3:57
22.0#Aida Linton#United States#48:59#+4:04
23.0#Nanami Ishikawa#Japan#49:05#+4:10
24.0#Greta Andersson#Sweden#49:06#+4:11
25.0#Mirari Gotxi Olartekoetxea#Spain#49:14#+4:19
26.0#Ada Watson#United States#49:19#+4:24
27.0#Maxime Takken#Netherlands#49:32#+4:37
28.0#Beatrix Attelmann#Germany#49:41#+4:46
29.0#Karolína Bortelová#Slovakia#49:58#+5:03
30.0#Ayaka Hiyoshi#Japan#50:02#+5:07
31.0#Karolína Rothbauerová#Czech Republic#50:25#+5:30
32.0#Tessa Beebe#United States#50:28#+5:33
33.0#Claire MacKinnon#Canada#50:31#+5:36
34.0#Carla Bañuls Puente#Spain#50:37#+5:42
35.0#Elsa Elf Boberg#Sweden#50:39#+5:44
36.0#Graden Daume#United States#50:43#+5:48
37.0#Alana Fletcher#Australia#51:02#+6:07
38.0#Aoi Kobayashi#Japan#51:30#+6:35
39.0#Gisele Rang#Estonia#53:27#+8:32
40.0#Sophie Hiswin#New Zealand#LAP#LAP
41.0#Alicia Reynolds#Australia#LAP#LAP
<NA>#Eva Drhová#Czech Republic#DNF#DNF
<NA>#Ida Mahlert#Denmark#DNF#DNF
<NA>#Amandine Jakob#Germany#DNS#DNS
<NA>#June Nothum#Luxembourg#DNS#DNS
<NA>#Isis Versluis#Netherlands#DNS#DNS
<NA>#Zita Peeters#Belgium#DNS#DNS
