rank#pair#lane#name#country#time#diff
<NA>#5#i#Vladimir Semirunniy#Poland#6:11.13#<NA>
<NA>#6#o#Riccardo Lorello#Italy#6:14.49#3.36
<NA>#6#i#Davide Ghiotto#Italy#6:17.00#5.87
4.0#4#i#Kars Jansman#Netherlands#6:21.39#10.26
5.0#7#o#Bart Swings#Belgium#6:22.43#11.3
6.0#8#i#Alexander Farthofer#Austria#6:23.46#12.33
7.0#7#i#Michele Malfatti#Italy#6:24.11#12.98
8.0#2#o#Wisse Slendebroek#Netherlands#6:26.08#14.95
9.0#2#i#Luca Matteo Stibenz#Germany#6:27.53#16.4
10.0#3#o#Giovanni Trebouta#France#6:27.89#16.76
11.0#1#i#Jasper Krommenhoek#Netherlands#6:28.56#17.43
12.0#8#o#Sigurd Henriksen#Norway#6:31.97#20.84
13.0#1#o#Tom Rudolph#Germany#6:44.74#33.61
14.0#3#i#Lukáš Steklý#Slovakia#6:46.85#35.72
15.0#5#o#Sigurd Holbø Dyrset#Norway#6:50.56#39.43
16.0#4#o#Tadeáš Procházka#Czech Republic#6:53.36#42.23
