rank_rank#bib_bib#country_country#round_1_distance_(m)#round_1_points#round_1_rank#final_round_distance_(m)#final_round_points#final_round_rank#total_points
<NA>#8#Japan Ryōyū Kobayashi Tomofumi Naito Naoki Nakamura Ren Nikaidō#223.0 216.0 222.5 212.5#775.4 200.5 187.4 196.1 191.4#1#209.0 222.0 224.0 229.0#794.2 190.7 187.9 209.8 205.8#1#1569.6
<NA>#10#Austria Stephan Embacher Stefan Kraft Manuel Fettner Jan Hörl#233.5 220.0 209.5 204.0#771.5 209.4 197.8 181.8 182.5#2#217.5 223.0 214.0 216.0#788.5 203.6 197.5 191.6 195.8#2#1560.0
<NA>#6#Norway Johann André Forfang Kristoffer Eriksen Sundal Benjamin Oestvold Marius Lindvik#215.5 189.0 224.0 216.0#747.9 192.5 160.3 193.4 201.7#3#202.5 197.5 202.0 230.0#735.8 186.6 157.4 178.8 213.0#3#1483.7
4.0#3#Germany Pius Paschke Felix Hoffmann Karl Geiger Philipp Raimund#206.0 197.5 217.5 195.0#705.4 179.8 167.3 187.7 170.6#4#190.0 206.5 200.0 214.5#701.4 168.3 168.6 177.6 186.9#5#1406.8
5.0#3#Finland Niko Kytösaho Jarkko Maatta Eetu Nousiainen Antti Aalto#219.0 184.0 172.0 206.5#666.3 194.6 155.4 133.2 183.1#5#153.0 207.0 174.0 216.5#625.0 115.2 172.9 144.0 192.9#6#1291.3
6.0#9#Slovenia Timi Zajc Rok Oblak Anže Lanišek Domen Prevc#216.0 195.5 217.5 DNS#544.0 192.3 162.2 189.5 0.0#8#197.0 180.0 215.5 228.5#710.6 168.2 139.0 193.8 209.6#4#1254.6
6.0#4#Switzerland Simon Amman Sandro Hauswirth Felix Trunz Gregor Deschwanden#192.5 185.0 204.5 179.5#639.1 160.1 158.6 174.2 146.2#6#160.5 211.5 188.5 186.0#615.5 120.9 180.8 162.2 151.6#7#1254.6
8.0#5#Poland Aleksander Zniszczoł Dawid Kubacki Kamil Stoch Piotr Żyła#175.0 170.0 181.0 204.0#585.7 135.1 138.0 140.6 172.0#7#138.0 164.5 180.0 204.0#520.5 92.2 113.7 141.6 173.0#8#1106.2
9.0#2#United States Erik Belshaw Jason Colby Decker Dean Tate Frantz#167.0 158.0 121.0 189.0#464.4 126.0 111.5 69.1 157.8#9#Did not advance#Did not advance#Did not advance#464.4
10.0#1#Kazakhstan Nikita Devyatkin Sabirzhan Muminov Nurshat Tursunzhanov Svyatoslav Nazarenko#117.0 144.5 109.5 115.0#274.8 64.8 96.0 47.2 66.8#10#Did not advance#Did not advance#Did not advance#274.8
