rank#athlete#country#time
<NA>#Jacob Kiplimo#Uganda#28:18
<NA>#Berihu Aregawi#Ethiopia#28:36
<NA>#Daniel Ebenyo#Kenya#28:45
4#Tadese Worku#Ethiopia#28:49
5#Ishmael Kipkurui#Kenya#28:53
6#Biniam Mehary#Ethiopia#29:03
7#Dolphine Chelimo#Uganda#29:07
8#Thierry Ndikumwenayo#Spain#29:16
9#Denis Kipkoech Kemboi Kipkemoi#Kenya#29:18
10#Keneth Kiprop#Uganda#29:20
11#Yann Schrub#France#29:22
12#Parker Wolfe#United States#29:28
13#Adriaan Wildschutt#South Africa#29:32
14#Wesley Kiptoo#United States#29:34
15#Jimmy Gressier#France#29:36
16#Brian Fay#Ireland#29:37
17#Kevin Chepsergon Chesang [de]#Kenya#29:39
18#Nibret Kinde [de]#Ethiopia#29:40
19#Graham Blanks#United States#29:41
20#Gabriel Geay#Tanzania#29:45
21#Emmanuel Kibet [de]#Uganda#29:46
22#Abdessamad Oukhelfen#Spain#29:49
23#Emanuel Dinday#Tanzania#29:54
24#Ky Robinson#Australia#29:56
25#Edward Marks#Australia#29:58
26#David Mullarkey#United Kingdom#30:00
27#Shadrack Koech#Kenya#30:01
28#Simon Sundström#Sweden#30:01
29#Benjamin Ratsim#Tanzania#30:07
30#Aarón Las Heras#Spain#30:12
31#Morgan McDonald#Australia#30:12
32#Etienne Daguinos#France#30:13
33#Sanele Masondo#South Africa#30:13
34#Valentin Gondouin#France#30:14
35#Bereket Nega#Ethiopia#30:19
36#Nico Young#United States#30:19
37#Fabien Palcau#France#30:25
38#Evan Burke#Canada#30:31
39#Isaac Heyne#Australia#30:38
40#Gulveer Singh#India#30:39
41#Deogracius Musobo#Uganda#30:41
42#Musawenkosi Mnisi#South Africa#30:45
43#Robert Koech#Kenya#30:49
44#Inyasi Nicodemus Sulley#Tanzania#30:50
45#Seth O'Donnell#Australia#30:53
46#Ahmed Muhumed#United States#30:53
47#Toby Gualter [it]#New Zealand#30:54
48#Xavier Perras-Phaneuf#Canada#31:05
49#Godwin Katakura#Zimbabwe#31:09
50#Bennett Seloyi#South Africa#31:12
