ep._ep.#original_broadcast_date_original_broadcast_date#average_audience_share_(nielsen_korea)[13]_nationwide#average_audience_share_(nielsen_korea)[13]_seoul
1#January 5, 2026#4.832% (1st)#4.676% (1st)
2#January 6, 2026#4.605% (1st)#4.265% (1st)
3#January 12, 2026#5.407% (1st)#4.575% (1st)
4#January 13, 2026#5.041% (1st)#4.858% (1st)
5#January 19, 2026#5.007% (1st)#4.579% (1st)
6#January 20, 2026#4.918% (1st)#4.396% (1st)
7#January 26, 2026#5.140% (1st)#5.460% (1st)
8#January 27, 2026#5.163% (1st)#4.750% (1st)
9#February 2, 2026#5.354% (1st)#5.092% (1st)
10#February 3, 2026#5.456% (1st)#5.311% (1st)
11#February 9, 2026#<NA>#<NA>
12#February 10, 2026#<NA>#<NA>
Average#Average#<NA>#<NA>
