episode#title#money_available#money_earned#total_pot#shield_winner
1.0#Let the Cards Fall As They Will#$30,000#$22,500#$22,500#Candiace
1.0#Let the Cards Fall As They Will#$30,000#$22,500#$22,500#Caroline
1.0#Let the Cards Fall As They Will#$30,000#$22,500#$22,500#Colton
1.0#Let the Cards Fall As They Will#$30,000#$22,500#$22,500#Johnny
1.0#Let the Cards Fall As They Will#$30,000#$22,500#$22,500#Kristen
1.0#Let the Cards Fall As They Will#$30,000#$22,500#$22,500#Lisa
1.0#Let the Cards Fall As They Will#$30,000#$22,500#$22,500#Maura
1.0#Let the Cards Fall As They Will#$30,000#$22,500#$22,500#Monét
1.0#Let the Cards Fall As They Will#$30,000#$22,500#$22,500#Natalie
1.0#Let the Cards Fall As They Will#$30,000#$22,500#$22,500#Porsha
1.0#Let the Cards Fall As They Will#$30,000#$22,500#$22,500#Stephen
1.0#Let the Cards Fall As They Will#$30,000#$22,500#$22,500#Tara
1.0#Let the Cards Fall As They Will#$30,000#$22,500#$22,500#Tiffany
1.0#Let the Cards Fall As They Will#$30,000#$22,500#$22,500#Yam Yam
2.0#The Death Conga#$24,000#$22,500#$45,000#Caroline
2.0#The Death Conga#$24,000#$22,500#$45,000#Colton
2.0#The Death Conga#$24,000#$22,500#$45,000#Yam Yam
3.0#Show Me Your Faces#$45,000#$25,000#$70,000#—N/a
4.0#Cut the Head off the Snake#$20,000#$20,000#$90,000#Candiace
4.0#Cut the Head off the Snake#$20,000#$20,000#$90,000#Colton
4.0#Cut the Head off the Snake#$20,000#$20,000#$90,000#Dorinda
4.0#Cut the Head off the Snake#$20,000#$20,000#$90,000#Eric
4.0#Cut the Head off the Snake#$20,000#$20,000#$90,000#Kristen
4.0#Cut the Head off the Snake#$20,000#$20,000#$90,000#Mark
4.0#Cut the Head off the Snake#$20,000#$20,000#$90,000#Natalie
4.0#Cut the Head off the Snake#$20,000#$20,000#$90,000#Rob R
5.0#If You're Gonna Come for Me, I'll Finish You#$16,000#$16,000#$106,000#Candiace
5.0#If You're Gonna Come for Me, I'll Finish You#$16,000#$16,000#$106,000#Colton
5.0#If You're Gonna Come for Me, I'll Finish You#$16,000#$16,000#$106,000#Dorinda
5.0#If You're Gonna Come for Me, I'll Finish You#$16,000#$16,000#$106,000#Eric
5.0#If You're Gonna Come for Me, I'll Finish You#$16,000#$16,000#$106,000#Johnny
5.0#If You're Gonna Come for Me, I'll Finish You#$16,000#$16,000#$106,000#Kristen
5.0#If You're Gonna Come for Me, I'll Finish You#$16,000#$16,000#$106,000#Lisa
5.0#If You're Gonna Come for Me, I'll Finish You#$16,000#$16,000#$106,000#Mark
5.0#If You're Gonna Come for Me, I'll Finish You#$16,000#$16,000#$106,000#Maura
5.0#If You're Gonna Come for Me, I'll Finish You#$16,000#$16,000#$106,000#Natalie
