no.#release_date#isbn
1#March 9, 2022#978-4-06-526980-0
2#May 9, 2022#978-4-06-527631-0
3#July 7, 2022#978-4-06-528257-1
4#September 8, 2022#978-4-06-529278-5
5#December 8, 2022#978-4-06-529899-2
6#March 9, 2023#978-4-06-530839-4
7#June 8, 2023#978-4-06-531797-6
8#September 8, 2023#978-4-06-532797-5
9#December 7, 2023#978-4-06-533805-6
10#March 8, 2024#978-4-06-534765-2
11#June 7, 2024#978-4-06-535682-1
12#September 9, 2024#978-4-06-536657-8
13#December 9, 2024#978-4-06-537700-0
14#March 7, 2025#978-4-06-538697-2
15#June 9, 2025#978-4-06-539684-1
16#September 9, 2025#978-4-06-540628-1
17#December 9, 2025#978-4-06-541684-6
18#March 9, 2026#978-4-06-542762-0
