rank#pair#lane#name#country#time#diff
<NA>#8#o#Kaja Ziomek-Nogal#Poland#37.79#<NA>
<NA>#8#i#Andżelika Wójcik#Poland#38.27#0.48
<NA>#5#o#Isabel Grevelt#Netherlands#38.37#0.58
4.0#7#o#Serena Pergher#Italy#38.54#0.75
5.0#6#o#Martyna Baran#Poland#38.55#0.76
6.0#6#i#Anna Boersma#Netherlands#38.57#0.78
7.0#3#o#Sofia Thorup#Denmark#38.63#0.84
8.0#5#i#Julie Nistad Samsonsen#Norway#39.17#1.38
9.0#4#i#Fran Vanhoutte#Belgium#39.19#1.4
10.0#4#o#Maybritt Vigl#Italy#39.46#1.67
11.0#3#i#Anna Ostlender#Germany#39.54#1.75
12.0#2#i#Hanna Biró#Hungary#40.05#2.26
13.0#2#o#Katja Franzen#Germany#40.22#2.43
14.0#1#i#Luisa María González#Spain#40.66#2.87
15.0#7#i#Angel Daleman#Netherlands#1:12.37#34.58
