event#gold#silver#bronze
50 kg details#Zerda Demir  Turkey#Zehra Demirhan  Turkey#Sümeyye Zeybek  Turkey
50 kg details#Zerda Demir  Turkey#Zehra Demirhan  Turkey#Cheon Mi-ran  South Korea
53 kg details#Şevval Çayır  Turkey#Remziye Karadağ  Turkey#Fatma Yılmaz  Turkey
55 kg details#Tuba Demir  Turkey#Esra Pul  Turkey#Melda Dernekçi  Turkey
57 kg details#Elvira Süleyman Kamaloğlu  Turkey#Emine Çakmak  Turkey#Kwon Young-jin  South Korea
59 kg details#Dilan Tan  Turkey#Özlem Gürsoy  Turkey#Rabia Melis Bayır  Turkey
62 kg details#Sevim Akbaş  Turkey#Ebru Dağbaşı  Turkey#Suna Durmaz  Turkey
65 kg details#Beyza Nur Akkuş  Turkey#Aslı Demir  Turkey#Ece Ece  Turkey
68 kg details#Nesrin Baş  Turkey#Elif Şevval Kurt  Turkey#Beyzanur Erduman  Turkey
72 kg details#Buse Tosun Çavuşoğlu  Turkey#İlayda Çin  Turkey#Haticenur Sarı  Turkey
76 kg details#Kadriye Aksoy Koçak  Turkey#Elmira Yasin  Turkey#Mehtap Gültekin  Turkey
