версия#номер_сборки#дата_выхода#примечания_к_выпуску
17.0 beta 1#21A5248v#5 июня 2023; 2 года назад#iOS & iPadOS 17 beta 1 Release Notes
17.0 beta 2#21A5268h#21 июня 2023; 2 года назад#iOS & iPadOS 17 beta 2 Release Notes
17.0 beta 3#21A5277h#5 июля 2023; 2 года назад#iOS & iPadOS 17 beta 3 Release Notes
17.0 beta 4#21A5291h#25 июля 2023; 23 месяца назад#iOS & iPadOS 17 beta 4 Release Notes
17.0 beta 5#21A5303d#8 августа 2023; 23 месяца назад#iOS & iPadOS 17 beta 4 Release Notes
17.0 beta 6#21A5312c#16 августа 2023; 22 месяца назад#iOS & iPadOS 17 beta 4 Release Notes
17.0 beta 7#21A5319a#22 августа 2023; 22 месяца назад#iOS & iPadOS 17 beta 7 Release Notes
17.0#21A329#18 сентября 2023; 21 месяц назад#News and Updates iPadOS 17.0 (21A329)
17.0.1#21A340#21 сентября 2023; 21 месяц назад#News and Updates iPadOS 17.0.1 (21A340)
17.0.2#21A351#26 сентября 2023; 21 месяц назад#News and Updates iPadOS 17.0.2 (21A351)
17.0.3#21A360#4 октября 2023; 21 месяц назад#News and Updates iPadOS 17.0.3 (21A360)
17.1#21B74#25 октября 2023; 20 месяцев назад#News and Updates iPadOS 17.1 (21B74)
17.1.1#21B91#8 ноября 2023; 20 месяцев назад#News and Updates iPadOS 17.1.1 (21B91)
17.1.2#21B101#30 ноября 2023; 19 месяцев назад#News and Updates iPadOS 17.1.2 (21B101)
17.2#21C62#11 декабря 2023; 19 месяцев назад#News and Updates iPadOS 17.2 (21C62)
17.3#21D50#22 января 2024; 17 месяцев назад#News and Updates iPadOS 17.3 (21D50)
17.3.1#21D61#8 февраля 2024; 17 месяцев назад#News and Updates iPadOS 17.3.1 (21D61)
17.4#21E219#5 февраля 2024; 17 месяцев назад#News and Updates iPadOS 17.4 (21E219)
17.4.1#21E236 21E237#21 марта 2024; 15 месяцев назад 27 марта 2024; 15 месяцев назад#News and Updates iPadOS 17.4.1 (21E236) News and Updates iPadOS 17.4.1 (21E237)
17.5#21F79#13 мая 2024; 13 месяцев назад#News and Updates iPadOS 17.5 (21F79)
17.5.1#21F90#20 мая 2024; 13 месяцев назад#News and Updates iPadOS 17.5.1 (21F90)
17.6#21G80#29 июля 2024; 11 месяцев назад#News and Updates iPadOS 17.6 (21G80)
17.6.1#21G93 21G101#7 августа 2024; 11 месяцев назад 19 августа 2024; 10 месяцев назад#News and Updates iPadOS 17.6.1 (21G93) News and Updates iPadOS 17.6.1 (21G101)
17.7#21H16#16 сентября 2024; 9 месяцев назад#News and Updates iPadOS 17.7 (21H16)
17.7.1#21H216#28 октября 2024; 8 месяцев назад#News and Updates iPadOS 17.7.1 (21H216)
17.7.2#21H221#19 ноября 2024; 7 месяцев назад#News and Updates iPadOS 17.7.2 (21H221)
17.7.3#21H312#11 декабря 2024; 7 месяцев назад#News and Updates iPadOS 17.7.3 (21H312)
17.7.4#21H414#27 января 2025; 5 месяцев назад#News and Updates iPadOS 17.7.4 (21H414)
17.7.5#21H420#10 февраля 2025; 5 месяцев назад#News and Updates iPadOS 17.7.5 (21H420)
17.7.6#21H423#31 марта 2025; 3 месяца назад#News and Updates iPadOS 17.7.6 (21H423)
