место#населённый_пункт#1990#2000#2007#2008#2009#область
1#Стамбул#6 629 431#8 803 468#10 861 463#10 878 360#10 895 257#Стамбул (ил)
2#Анкара#2 583 963#3 203 362#3 842 737#3 894 182#3 945 627#Анкара (ил)
3#Измир#1 758 780#2 232 265#2 644 531#2 672 126#2 699 721#Измир (ил)
4#Бурса#834 576#1 194 687#1 537 040#1 589 530#1 642 020#Бурса (ил)
5#Адана#916 150#1 130 710#1 506 272#1 517 787#1 529 302#Адана (ил)
6#Газиантеп#603 434#853 513#1 192 023#1 235 815#1 279 607#Газиантеп (ил)
7#Конья#513 346#742 690#973 791#980 973#988 155#Конья (ил)
8#Анталья#378 208#603 190#877 945#911 497#945 049#Анталья (ил)
9#Кайсери#425 776#536 392#775 594#781 119#786 644#Кайсери (ил)
10#Мерсин#481 459#633 691#692 300#696 518#700 736#Мерсин (ил)
11#Эскишехир#413 082#482 793#581 408#599 796#618 184#Эскишехир (ил)
12#Диярбакыр#373 810#545 963#613 332#613 821#614 310#Диярбакыр (ил)
13#Денизли#237 918#357 557#465 947#479 381#492 815#Денизли (ил)
14#Шанлыурфа#276 528#385 588#472 238#468 993#465 748#Шанлыурфа (ил)
15#Самсун#322 982#388 509#459 781#461 640#463 499#Самсун (ил)
16#Эсеньюрт#70 280#148 981#335 316#373 017#410 718#Стамбул (ил)
17#Малатья#270 412#381 081#419 212#411 181#403 150#Малатья (ил)
18#Адапазары#272 039#283 752#382 226#390 624#399 022#Сакарья (ил)
19#Кахраманмараш#228 129#326 198#380 805#385 672#390 539#Кахраманмараш (ил)
20#Эрзурум#242 391#361 235#361 160#359 752#358 344#Эрзурум (ил)
21#Ван (город)#155 623#284 464#331 986#342 139#352 292#Ван (ил)
22#Элязыг#204 603#266 495#319 381#312 584#305 787#Элязыг (ил)
23#Батман#147 347#246 678#293 024#298 342#303 660#Батман (ил)
24#Султанбейли#82 298#175 700#272 758#282 026#291 294#Стамбул (ил)
25#Измит#190 741#195 699#285 470#287 970#290 470#Коджаэли (ил)
26#Сивас#223 115#251 776#294 402#288 693#282 984#Сивас (ил)
27#Гебзе#159 116#253 487#270 614#274 271#277 928#Коджаэли (ил)
28#Маниса#158 928#214 949#281 890#278 967#276 044#Маниса (ил)
29#Балыкесир#170 589#215 436#241 404#247 072#252 740#Балыкесир (ил)
30#Санджактепе#46 013#144 351#223 755#227 602#231 449#Стамбул (ил)
31#Тарсус#187 508#216 382#229 921#228 471#227 021#Мерсин (ил)
32#Трабзон#161 886#214 949#230 693#220 860#211 027#Трабзон (ил)
33#Чорум#116 810#161 321#202 322#206 572#210 822#Чорум (ил)
34#Чорлу#74 681#141 525#190 792#200 577#210 362#Текирдаг (ил)
35#Каяпынар#10 958#68 150#166 905#185 626#204 347#Диярбакыр (ил)
36#Османие#122 307#173 977#180 477#189 112#197 747#Османие (ил)
