рез.#ветер#рекордсмен#страна#стадион#дата
1032#<NA>#Стайн, Элизабетen#США#Мамаронек#13.05.1922
1050#<NA>#Кенел, Адриеннen#Швейцария#Женева#16.07.1923
1162#<NA>#Хитоми, Кинуэen#Япония#Харбин#17.10.1926
1166#<NA>#Ямагути, Риэen#Япония#?#21.10.1939
1222#<NA>#Бингел, Мэриen#Великобритания#Стрит#18.06.1959
1243#<NA>#Тёрнер, Терриen#США#Остин#09.05.1981
1247#<NA>#Тёрнер, Терриen#США#Остин#07.05.1982
1251#<NA>#Смит, Мелодиen#США#Остин#06.05.1983
1298#<NA>#Габриэль, Истерen#США#Батон-Руж#07.05.1983
1315#<NA>#Тёрнер, Терриen#США#Остин#24.03.1984
1321#<NA>#Тёрнер, Терриen#США#Батон-Руж#13.04.1984
1358#<NA>#Браун, Вендиen#США#Остин#30.05.1985
1368#<NA>#Гарсия, Эсмеральда#Бразилия#Индианаполис#05.06.1986
1371#<NA>#Браун, Вендиen#США#Лос-Анджелес#02.05.1987
1373#<NA>#Хьясинт, Флораen#Виргинские о-ва#Тускалуза#17.05.1987
1378#<NA>#Хадсон, Шейлаen#США#Батон-Руж#06.06.1987
1385#<NA>#Хадсон, Шейлаen#США#Сан-Хосе#26.06.1987
1404#<NA>#Ли Хойжунen#Китай#Хамамацу#11.10.1987
1416#<NA>#Ли Хойжунen#Китай#Шицзячжуан#23.04.1988
1452#<NA>#Чистякова, Галина#СССР#Стокгольм#02.07.1989
1454#11#Ли Хойжунen#Китай#Саппоро#25.08.1990
1495#–0,2#Кравец, Инесса#СССР#Москва#10.06.1991
1497#09#Чен, Иоланда#Россия#Москва#18.06.1993
1509#05#Бирюкова, Аннаen#Россия#Штутгарт#21.10.1993
1550#09#Кравец, Инесса#Украина#Гётеборг#10.08.1995
1567#07#Юлимар Рохас#Венесуэла#Токио#01.08.2021
