название#площадь_(км²)#население_(2020)#координаты#комарка
Абалос исп. Ábalos#181#255#42°34′18″ с. ш. 2°42′37″ з. д.HGЯO#Аро
Агонсильо исп. Agoncillo#3473#1096#42°26′47″ с. ш. 2°17′26″ з. д.HGЯO#Логроньо
Агилар-дель-Рио-Альхама исп. Aguilar del Río Alhama#5411#459#41°57′42″ с. ш. 1°59′40″ з. д.HGЯO#Сервера
Ахамиль-де-Камерос исп. Ajamil de Cameros#6615#68#42°10′01″ с. ш. 2°29′14″ з. д.HGЯO#Камеро-Вьехо
Альбельда-де-Ирегва исп. Albelda de Iregua#2303#3481#42°21′27″ с. ш. 2°28′22″ з. д.HGЯO#Логроньо
Альберите исп. Alberite#2024#2457#42°24′21″ с. ш. 2°26′25″ з. д.HGЯO#Логроньо
Альканадре исп. Alcanadre#31#638#42°24′20″ с. ш. 2°07′06″ з. д.HGЯO#Логроньо
Альдеануэва-де-Эбро исп. Aldeanueva de Ebro#3908#2760#42°13′47″ с. ш. 1°53′16″ з. д.HGЯO#Альфаро
Алесанко исп. Alesanco#1717#504#42°24′51″ с. ш. 2°49′00″ з. д.HGЯO#Нахера
Алесон исп. Alesón#649#94#42°24′17″ с. ш. 2°41′24″ з. д.HGЯO#Нахера
Альфаро исп. Alfaro#19423#9611#42°10′42″ с. ш. 1°44′51″ з. д.HGЯO#Альфаро
Альмарса-де-Камерос исп. Almarza de Cameros#2811#32#42°12′58″ с. ш. 2°35′53″ з. д.HGЯO#Камеро-Нуэво
Ангусиана исп. Anguciana#5#425#42°34′31″ с. ш. 2°54′09″ з. д.HGЯO#Аро
Ангиано исп. Anguiano#91#494#42°15′40″ с. ш. 2°45′50″ з. д.HGЯO#Ангьяно
Аренсана-де-Абахо исп. Arenzana de Abajo#8#237#42°23′11″ с. ш. 2°43′08″ з. д.HGЯO#Нахера
Аренсана-де-Арриба исп. Arenzana de Arriba#6#29#42°23′15″ с. ш. 2°41′38″ з. д.HGЯO#Нахера
Арнедильо исп. Arnedillo#4833#448#42°12′43″ с. ш. 2°14′09″ з. д.HGЯO#Арнедо
Арнедо исп. Arnedo#8540#15 015#42°13′40″ с. ш. 2°06′00″ з. д.HGЯO#Арнедо
Аррубаль исп. Arrúbal#7#516#42°26′07″ с. ш. 2°15′04″ з. д.HGЯO#Логроньо
Аусехо исп. Ausejo#5658#808#42°20′43″ с. ш. 2°10′10″ з. д.HGЯO#Логроньо
Аутоль исп. Autol#8528#4623#42°12′50″ с. ш. 2°00′25″ з. д.HGЯO#Калаорра
Асофра исп. Azofra#1184#219#42°25′26″ с. ш. 2°48′03″ з. д.HGЯO#Нахера
Бадаран исп. Badarán#2069#477#42°22′01″ с. ш. 2°48′27″ з. д.HGЯO#Нахера
Баньярес исп. Bañares#2959#230#42°28′10″ с. ш. 2°54′37″ з. д.HGЯO#Санто-Доминго-де-ла-Кальсада
Баньос-де-Рио-Тобиа исп. Baños de Río Tobía#1759#1585#42°20′06″ с. ш. 2°45′39″ з. д.HGЯO#Ангьяно
Баньос-де-Риоха исп. Baños de Rioja#981#83#42°30′43″ с. ш. 2°56′42″ з. д.HGЯO#Санто-Доминго-де-ла-Кальсада
Берсео исп. Berceo#1527#151#42°20′17″ с. ш. 2°51′07″ з. д.HGЯO#Ангьяно
Бергаса исп. Bergasa#27#148#42°15′09″ с. ш. 2°07′50″ з. д.HGЯO#Арнедо
Бергасильяс-Бахера исп. Bergasillas Bajera#970#35#42°14′41″ с. ш. 2°09′31″ з. д.HGЯO#Арнедо
Бесарес исп. Bezares#5#22#42°22′13″ с. ш. 2°40′15″ з. д.HGЯO#Нахера
Бобадилья исп. Bobadilla#5#96#42°19′03″ с. ш. 2°45′33″ з. д.HGЯO#Нахера
Брьева-де-Камерос исп. Brieva de Cameros#4615#38#42°09′53″ с. ш. 2°47′41″ з. д.HGЯO#Ангьяно
