№#дата_публикации#isbn
1#17 апреля 2020 г.#ISBN 978-4-0889-1533-3
2#19 июня 2020 г.#ISBN 978-4-0889-1569-2
3#18 сентября 2020 г.#ISBN 978-4-0889-1656-9
4#18 декабря 2020 г.#ISBN 978-4-0889-1736-8
5#18 марта 2021 г.#ISBN 978-4-0889-1816-7
6#18 июня 2021 г.#ISBN 978-4-0889-2007-8
7#17 сентября 2021 г.#ISBN 978-4-0889-2072-6
8#17 декабря 2021 г.#ISBN 978-4-0889-2164-8
9#18 марта 2022 г.#ISBN 978-4-0889-2245-4
10#17 июня 2022 г.#ISBN 978-4-0889-2338-3
11#16 сентября 2022 г.#ISBN 978-4-0889-2427-4
12#19 декабря 2022 г.#ISBN 978-4-0889-2537-0
13#17 марта 2023 г.#ISBN 978-4-0889-2629-2
14#19 июля 2023 г.#ISBN 978-4-0889-2718-3
15#19 октября 2023 г.#ISBN 978-4-0889-2861-6
16#17 ноября 2023 г.#ISBN 978-4-0889-2896-8
17#18 марта 2024 г.#ISBN 978-4-0889-3171-5
18#19 июня 2024 г.#ISBN 978-4-0889-3278-1
19#19 сентября 2024 г.#ISBN 978-4-0889-3385-6
20#18 декабря 2024 г.#ISBN 978-4-0889-3504-1
21#18 марта 2025 г.#ISBN 978-4-0889-3590-4
22#18 июня 2025 г.#ISBN 978-4-0889-3699-4
