название#площадь_(км²)#население_(2020)#координаты#комарка
Айгуамурсия исп. Aiguamurcia, кат. Aiguamúrcia#7300#930#41°19′46″ с. ш. 1°21′31″ в. д.HGЯO#Альт-Камп
Альбиньяна исп. Albiñana, кат. Albinyana#1940#2468#41°14′44″ с. ш. 1°29′12″ в. д.HGЯO#Баш-Пенедес
Альканар исп. и кат. Alcanar#4710#9434#40°32′35″ с. ш. 0°28′51″ в. д.HGЯO#Монсия
Альковер исп. и кат. Alcover#4600#5144#41°15′43″ с. ш. 1°10′16″ в. д.HGЯO#Альт-Камп
Альдовер исп. и кат. Aldover#2020#905#40°52′54″ с. ш. 0°30′04″ в. д.HGЯO#Баш-Эбре
Альфара-де-Карлес исп. Alfara, кат. Alfara de Carles#6390#376#40°52′32″ с. ш. 0°24′05″ в. д.HGЯO#Баш-Эбре
Альфоржа исп. и кат. Alforja#3820#1783#41°12′41″ с. ш. 0°58′32″ в. д.HGЯO#Баш-Камп
Алио исп. и кат. Alió#730#458#41°17′46″ с. ш. 1°18′28″ в. д.HGЯO#Альт-Камп
Альмостер исп. и кат. Almoster#600#1341#41°11′52″ с. ш. 1°06′46″ в. д.HGЯO#Баш-Камп
Альтафулья исп. и кат. Altafulla#700#5307#41°08′36″ с. ш. 1°22′37″ в. д.HGЯO#Таррагонес
Ампоста исп. и кат. Amposta#13830#21 115#40°42′38″ с. ш. 0°34′51″ в. д.HGЯO#Монсия
Арболи исп. Arbolí, кат. L'Arbolí#2080#127#41°14′33″ с. ш. 0°56′56″ в. д.HGЯO#Баш-Камп
Арнес исп. и кат. Arnes#4300#444#40°54′39″ с. ш. 0°15′40″ в. д.HGЯO#Терра-Альта
Аско (Испания) исп. и кат. Ascó#7360#1644#41°10′51″ с. ш. 0°34′02″ в. д.HGЯO#Рибера-д’Эбре
Баньерес-дель-Пенедес исп. Bañeras, кат. Banyeres del Penedès#1220#3207#41°16′47″ с. ш. 1°35′00″ в. д.HGЯO#Баш-Пенедес
Барбера-де-ла-Конка исп. Barbará, кат. Barberà de la Conca#2660#471#41°24′40″ с. ш. 1°13′37″ в. д.HGЯO#Конка-де-Барбера
Батеа исп. и кат. Batea#12840#1901#41°05′39″ с. ш. 0°18′43″ в. д.HGЯO#Терра-Альта
Бельмун-дель-Приорат исп. Bellmunt de Ciurana, кат. Bellmunt del Priorat#890#273#41°09′50″ с. ш. 0°45′56″ в. д.HGЯO#Приорат
Бельвей исп. Bellvey, кат. Bellvei#830#2237#41°14′29″ с. ш. 1°34′36″ в. д.HGЯO#Баш-Пенедес
Бенифальет исп. и кат. Benifallet#6240#723#40°58′33″ с. ш. 0°31′04″ в. д.HGЯO#Баш-Эбре
Бенисанет исп. Benisanet, кат. Benissanet#2310#1140#41°03′25″ с. ш. 0°38′05″ в. д.HGЯO#Рибера-д’Эбре
Бланкафорт исп. и кат. Blancafort#1450#382#41°26′16″ с. ш. 1°09′33″ в. д.HGЯO#Конка-де-Барбера
Бонастре исп. и кат. Bonastre#2500#685#41°13′19″ с. ш. 1°26′27″ в. д.HGЯO#Баш-Пенедес
Бот исп. и кат. Bot#3490#554#41°00′39″ с. ш. 0°23′09″ в. д.HGЯO#Терра-Альта
Ботарель исп. и кат. Botarell#1190#1077#41°08′15″ с. ш. 0°59′26″ в. д.HGЯO#Баш-Камп
Брафим исп. Bráfim, кат. Bràfim#640#695#41°16′14″ с. ш. 1°20′30″ в. д.HGЯO#Альт-Камп
Кабасес исп. и кат. Cabacés#3130#302#41°14′51″ с. ш. 0°44′01″ в. д.HGЯO#Приорат
Кабра-дель-Камп исп. Cabra del Campo, кат. Cabra del Camp#2690#1175#41°23′50″ с. ш. 1°16′40″ в. д.HGЯO#Альт-Камп
Калафель исп. и кат. Calafell#2040#27 601#41°12′01″ с. ш. 1°34′10″ в. д.HGЯO#Баш-Пенедес
