место#команда#и#в#п#мг#dsc,_см
<NA>#Япония (Аки Огава / Ёдзи Накадзима)#9#7#2#<NA>#15075.0
<NA>#Шотландия (Шарлотта Маккенна / Хью Нибли)#9#6#3#<NA>#10799.0
<NA>#Эстония (Кятлин Рийдебах / Айн Виллау)#9#5#4#<NA>#10150.0
4.0#Республика Корея (Kim Hyemin / Jeong Junho)#9#7#2#<NA>#5399.0
5.0#Норвегия (Миа Ларсен Свеберг / Гейр Арне Скогстад)#7#5#2#<NA>#8962.0
6.0#Канада (Айна Форрест / Марк Айдесон)#7#6#1#<NA>#9242.0
7.0#Чехия (Zaneta Schmuttermeierova / Radek Musilek)#7#4#3#<NA>#9719.0
8.0#Словакия (Моника Кункелова / Радослав Дюриш)#7#4#3#<NA>#11609.0
9.0#США (Лора Дуайер / Стивен Эмт)#6#4#2#3.0#11921.0
10.0#Китай (Ван Мэн / Ян Цзиньцяо)#6#4#2#4.0#8201.0
11.0#Латвия (Полина Рожкова / Агрис Ласманс)#6#3#3#4.0#11137.0
12.0#Англия (Karen Aspey / Stewart Pimblett)#6#3#3#4.0#13267.0
13.0#Венгрия (Aniko Sasadi / Peter Barkoczi)#6#2#4#5.0#10494.0
14.0#Швейцария (Фанни Жакеро / Eric Décorvet)#6#2#4#5.0#12549.0
15.0#Дания (Helle Christiansen-Schmidt / Kenneth Ørbæk)#6#2#4#5.0#12603.0
16.0#Италия (Ориетта Берто / Паоло Иориатти)#6#2#4#6.0#12087.0
17.0#Финляндия (Ritva Lampinen / Harry Tuomaala)#6#1#5#6.0#12649.0
18.0#Турция (Zuleyha Bingol / Mesut Gules)#6#1#5#6.0#13201.0
19.0#Польша (Joanna Kozakiewicz / Michal Gasik-Daszkowski)#6#1#5#7.0#9878.0
20.0#Бразилия (Vilma Miranda / Jerônimo Gabriel)#6#1#5#7.0#12457.0
21.0#Испания (Anna Nadal Rodriguez / Bertrand Tramont)#6#1#5#7.0#136.0
