название#площадь_(км²)#население_(2019)#координаты#комарка
Абегондо исп. и галис. Abegondo#8381#5406#43°13′38″ с. ш. 8°17′19″ з. д.HGЯO#Коруния
Амес исп. и галис. Ames#8004#31 793#42°54′17″ с. ш. 8°39′24″ з. д.HGЯO#Сантьяго
Аранга исп. и галис. Aranga#11965#1849#43°14′04″ с. ш. 8°00′58″ з. д.HGЯO#Бетансос
Арес исп. и галис. Ares#1831#5732#43°25′35″ с. ш. 8°14′37″ з. д.HGЯO#Ферроль
Арсуа исп. и галис. Arzúa#15548#6041#42°55′37″ с. ш. 8°09′50″ з. д.HGЯO#Арсуа
Артейхо исп. Arteijo; галис. Arteixo#9368#32 262#43°18′18″ с. ш. 8°30′18″ з. д.HGЯO#Коруния
Бергондо исп. и галис. Bergondo#3272#6633#43°19′11″ с. ш. 8°14′03″ з. д.HGЯO#Коруния
Бетансос исп. и галис. Betanzos#2419#12 959#43°16′44″ с. ш. 8°12′38″ з. д.HGЯO#Бетансос
Бойморто исп. и галис. Boimorto#8234#1985#43°00′27″ с. ш. 8°07′36″ з. д.HGЯO#Арсуа
Бойро исп. и галис. Boiro#8658#18 838#42°38′50″ с. ш. 8°52′57″ з. д.HGЯO#Барбанса
Бокейхон исп. Boqueijón; галис. Boqueixón#7318#4220#42°49′39″ с. ш. 8°24′56″ з. д.HGЯO#Сантьяго
Брион исп. и галис. Brión#749#7837#42°51′58″ с. ш. 8°40′43″ з. д.HGЯO#Сантьяго
Вальдовиньо исп. и галис. Valdoviño#8822#6563#43°36′25″ с. ш. 8°08′37″ з. д.HGЯO#Ферроль
Валье-дель-Дубра исп. Valle del Dubra; галис. Val do Dubra#10864#3876#43°01′36″ с. ш. 8°39′23″ з. д.HGЯO#Сантьяго
Ведра исп. и галис. Vedra#5278#5036#42°46′35″ с. ш. 8°28′56″ з. д.HGЯO#Сантьяго
Виласантар исп. и галис. Vilasantar#5922#1213#43°04′22″ с. ш. 8°07′18″ з. д.HGЯO#Бетансос
Вильярмайор исп. Villarmayor; галис. Vilarmaior#3035#1226#43°21′18″ с. ш. 8°07′47″ з. д.HGЯO#Бетансос
Вимьянсо исп. и галис. Vimianzo#18727#7057#43°06′37″ с. ш. 9°02′03″ з. д.HGЯO#Тьерра-де-Сонейра
Додро исп. и галис. Dodro#3612#2768#42°42′56″ с. ш. 8°42′53″ з. д.HGЯO#Сар
Думбрия исп. и галис. Dumbría#12519#2983#43°00′33″ с. ш. 9°06′55″ з. д.HGЯO#Финистерре
Ирихоа исп. Irijoa; галис. Irixoa#6859#1334#43°17′03″ с. ш. 8°03′54″ з. д.HGЯO#Бетансос
Кабана-де-Бергантиньос исп. и галис. Cabana de Bergantiños#10026#4248#43°13′09″ с. ш. 8°55′47″ з. д.HGЯO#Бергантиньос
Кабаньяс исп. Cabañas; галис. Cabanas#3032#3281#43°25′10″ с. ш. 8°09′43″ з. д.HGЯO#Эуме
Камариньяс исп. и галис. Camariñas#516#5272#43°07′49″ с. ш. 9°10′51″ з. д.HGЯO#Тьерра-де-Сонейра
Камбре исп. и галис. Cambre#4074#24 648#43°17′33″ с. ш. 8°20′40″ з. д.HGЯO#Коруния
Капела исп. Capela; галис. A Capela#580#1232#43°26′09″ с. ш. 8°04′08″ з. д.HGЯO#Эуме
Карбальо исп. и галис. Carballo#18609#31 349#43°12′50″ с. ш. 8°41′21″ з. д.HGЯO#Бергантиньос
Кариньо исп. и галис. Cariño#472#3838#43°44′25″ с. ш. 7°52′07″ з. д.HGЯO#Ортегаль
Карнота исп. и галис. Carnota#709#3957#42°49′14″ с. ш. 9°05′13″ з. д.HGЯO#Мурос
Карраль исп. и галис. Carral#4803#6408#43°13′44″ с. ш. 8°21′26″ з. д.HGЯO#Коруния
